ID,Gaia DR2 ID,Gmag,νmax,∆ν,QF,Teff,L/L⊙,R/R⊙,M3/M⊙
M4AGB01,6045466193429562880,12.08,9.7±0.9,1.49±0.08,MD,4944±29,104.1±0.9±12.1,23.8±3.2±3.2,0.56±0.05±0.07
M4AGB02,6045466537026893696,11.84,6.7±0.4,1.39±0.05,D,4838±62,128.3±2.6±14.9,18.7±1.8±2.8,0.51±0.04±0.06
M4AGB58,6045490107808665088,11.97,10.3±0.7,1.76±0.24,D,4840±108,122.3±4.1±14.2,17.8±4.2±2.7,0.75±0.08±0.09
M4AGB59,6045489798570998144,11.36,4.9±0.2,1.16±0.11,MD,5029±108,209.0±5.5±24.3,19.8±3.4±2.4,0.53±0.05±0.06
M4AGB62,6045484266652772864,11.93,8.1±0.2,1.40±0.03,D,4941±52,125.3±1.9±14.5,22.6±1.1±3.0,0.56±0.03±0.07
M4RGB10,6045477837079964928,13.40,48.4±1.0,5.55±0.14,D,4960±65,32.3±0.6±3.7,8.6±0.5±1.1,0.86±0.04±0.10
M4RGB104,6045477807021629952,13.15,34.1±1.9,4.20±0.05,D,4851±108,38.8±1.3±4.5,10.4±0.6±1.6,0.79±0.08±0.09
M4RGB11,6045477905795000448,12.22,10.7±0.5,1.77±0.05,D,4612±58,92.9±2.4±10.8,18.1±1.3±3.4,0.71±0.05±0.08
M4RGB124,6045466124710020608,14.05,91.4±3.3,9.41±0.26,D,5088±108,17.1±0.4±2.0,5.7±0.4±0.6,0.79±0.07±0.09
M4RGB129,6045466124710022528,13.77,69.3±3.8,7.37±0.15,D,4989±108,22.6±0.6±2.6,7.0±0.5±0.9,0.85±0.08±0.10
M4RGB13,6045477910100852992,13.53,49.0±3.3,6.42±0.28,D,4840±108,27.0±0.9±3.1,6.4±0.7±1.0,0.79±0.08±0.09
M4RGB130,6045466326563296768,13.08,36.9±1.4,4.11±0.22,D,4897±108,40.2±1.2±4.7,11.9±1.3±1.7,0.85±0.08±0.10
M4RGB131,6045466502667143680,14.07,96.8±3.3,9.67±0.23,D,5047±108,16.8±0.4±2.0,5.7±0.3±0.7,0.84±0.07±0.10
M4RGB133,6045466262148869632,11.15,3.3±0.2,0.72±0.06,D,4377±108,260.0±17.1±30.1,33.3±5.2±7.6,0.74±0.09±0.09
M4RGB14,6045466360918967424,13.09,33.3±0.5,3.97±0.13,D,4807±59,41.2±0.8±4.8,11.4±0.7±1.8,0.84±0.04±0.10
M4RGB142,6045478047540140544,13.86,73.6±3.6,7.64±0.20,D,4988±74,22.5±0.4±2.6,6.9±0.5±0.9,0.89±0.06±0.10
M4RGB143,6045489042656699648,13.64,66.1±3.8,7.04±0.03,D,4937±108,23.2±0.7±2.7,7.3±0.4±1.0,0.86±0.08±0.10
M4RGB147,6045489042656695808,14.02,103.5±3.3,9.40±0.25,D,5218±108,18.5±0.4±2.1,6.6±0.4±0.6,0.88±0.07±0.10
M4RGB148,6045477356033739136,12.45,12.4±0.7,2.00±0.06,D,4632±54,76.4±1.8±8.9,16.4±1.3±3.0,0.66±0.05±0.08
M4RGB15,6045477841381440384,12.59,17.7±1.0,2.27±0.13,MD,4865±51,65.2±1.1±7.6,18.6±2.2±2.7,0.68±0.05±0.08
M4RGB16,6045466330868395776,13.30,44.0±1.9,4.85±0.03,D,4921±62,30.8±0.6±3.6,10.2±0.5±1.4,0.77±0.05±0.09
M4RGB165,6045478872173678208,13.99,91.1±3.8,8.57±0.21,D,5287±108,23.0±0.4±2.7,7.0±0.4±0.6,0.92±0.08±0.11
M4RGB169,6045489180095663488,13.75,79.9±4.3,7.88±0.29,D,5143±73,24.8±0.4±2.9,7.2±0.6±0.7,0.96±0.07±0.11
M4RGB17,6045477910100876544,13.55,52.0±1.4,5.81±0.22,D,4785±61,28.4±0.6±3.3,8.3±0.6±1.3,0.92±0.05±0.11
M4RGB180,6045489351894331776,12.90,25.6±1.4,4.12±0.02,MD,4972±66,54.0±1.0±6.3,8.3±0.5±1.1,0.75±0.06±0.09
