#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2025-08-11T12:58:50 [V7.5.1]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-08-11T12:58:50	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/490/625/results&-order=I&-out=Star&-out=RAJ2000&-out=DEJ2000&-out=Teff&-out=logg&-out=Bmag&-out=Vmag&-out=Icmag&-out=Kmag&-out=[Fe/HI]&-out=[O/Fe]&-out=[Mg/Fe]&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.1	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_34900625
#Name: J/A+A/490/625
#Title: Abundances of NGC 6121 red giants (Marino+, 2008)
#INFO	ivoid=ivo://cds.vizier/j/a+a/490/625	    IVOID of underlying data collection
#INFO	creator=Marino A.F.	    First author or institution
#INFO	cites=bibcode:2008A&A...490..625M	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2008	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/490/625	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.34900625	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-22	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_490_625_results:
#Name: J/A+A/490/625/results
#Title: Results: atmospheric parameters, photometry,  and chemical abundances
#Column	Star	(I5)	[5359/45895] Star identification number	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Teff	(I4)	Effective temperature	[ucd=phys.temperature.effective]
#Column	logg	(F5.2)	Surface gravity	[ucd=phys.gravity]
#Column	Bmag	(F5.2)	? Johnson B magnitude	[ucd=phot.mag;em.opt.B]
#Column	Vmag	(F5.2)	? Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	Icmag	(F5.2)	? Cousisn I magnitude	[ucd=phot.mag;em.opt.I]
#Column	Kmag	(F5.2)	? 2MASS K magnitude	[ucd=phot.mag;em.IR.K]
#Column	[Fe/HI]	(F5.2)	Abundance ratio [Fe/HI]	[ucd=phys.abund.Fe;arith.ratio]
#Column	[O/Fe]	(F5.2)	? Abundance ratio [O/Fe]	[ucd=phys.abund;arith.ratio]
#Column	[Mg/Fe]	(F5.2)	Abundance ratio [Mg/Fe]	[ucd=phys.abund;arith.ratio]
Star|RAJ2000|DEJ2000|Teff|logg|Bmag|Vmag|Icmag|Kmag|[Fe/HI]|[O/Fe]|[Mg/Fe]
 |deg|deg|K|[cm/s2]|mag|mag|mag|mag|[Sun]|[Sun]|[Sun]
-----|----------|----------|----|-----|-----|-----|-----|-----|-----|-----|-----
19925|245.810074|-26.601537|4050| 1.20|12.76|11.04| 8.97| 6.38|-1.02| 0.28| 0.43
20766|245.808111|-26.556806|4400| 1.80|13.53|12.10|10.33| 8.07|-1.05| 0.31| 0.49
21191|245.819000|-26.536025|4270| 1.60|13.21|11.70| 9.85| 7.45|-1.06| 0.34| 0.55
21728|245.810822|-26.513039|4525| 2.00|13.86|12.51|10.78| 8.51|-1.06| 0.31| 0.52
22089|245.820413|-26.496640|4700| 2.28|14.36|13.14|11.54| 9.47|-1.06| 0.35| 0.30
24590|245.916677|-26.650882|4850| 2.66|14.67|13.44|11.88| 9.94|-1.07| 0.50| 0.61
25709|245.920488|-26.623195|4680| 2.20|14.24|12.96|11.31| 9.28|-1.13| 0.44| 0.54
26471|245.881306|-26.605137|4800| 2.40|14.70|13.49|11.87| 9.90|-1.10| 0.41| 0.59
26794|245.909407|-26.598660|4800| 2.45|14.94|13.71|12.08|10.07|-1.17|     | 0.53
27448|245.953307|-26.585869|4310| 1.57|13.24|11.73| 9.86| 7.53|-1.12| 0.51| 0.50
28103|245.849218|-26.574931|3860| 0.50|12.52|10.71| 8.51| 5.75|-1.08| 0.50| 0.41
28356|245.973246|-26.570866|4600| 2.22|13.92|12.57|10.87| 8.72|-1.14| 0.44| 0.55
28707|245.938374|-26.565799|4880| 2.74|14.84|13.61|11.99| 9.95|-1.03|     | 0.40
28797|245.974346|-26.564583|4640| 2.35|14.22|12.93|11.30| 9.21|-1.12| 0.35| 0.55
28847|245.904719|-26.563907|4780| 2.40|14.76|13.54|11.88| 9.77|-1.16| 0.52| 0.52
28977|245.945517|-26.562185|4680| 2.33|14.31|13.02|11.36| 9.26|-1.14| 0.39| 0.51
29027|245.848107|-26.561463|4720| 2.40|14.40|13.16|11.48| 9.39|-1.10| 0.51| 0.48
29065|245.941359|-26.560811|4650| 2.10|14.27|12.98|11.31| 9.24|-1.12| 0.45| 0.61
29171|245.899691|-26.559587|4880| 2.64|14.95|13.73|12.09|10.00|-0.99| 0.22| 0.43
29222|245.846067|-26.558962|4720| 2.50|14.42|13.17|11.52| 9.41|-1.04| 0.36| 0.44
29272|245.862867|-26.558251|4780| 2.50|14.64|13.42|11.76| 9.67|-1.11| 0.53| 0.47
29282|245.855446|-26.558111|4650| 2.30|14.17|12.88|11.18| 8.98|-1.06| 0.28| 0.50
29397|245.875889|-26.556714|4600| 1.50|13.53|12.20|10.47| 8.32|-1.12| 0.24| 0.55
29545|245.927498|-26.554854|4880| 2.61|14.96|13.79|12.23|10.24|-1.06| 0.47| 0.44
29598|245.889089|-26.554145|4840| 2.50|14.89|13.68|12.05|10.01|-1.06| 0.39| 0.48
29693|245.880941|-26.553079|4360| 1.10|13.27|11.80| 9.96| 7.64|-1.19| 0.26| 0.60
29848|245.892191|-26.551086|4780| 2.52|14.75|13.52|11.87| 9.83|-1.05| 0.54| 0.54
