Star,[Fe/HI],[O/Fe],[Na/Fe],[Mg/Fe],[Al/Fe],[Si/Fe],[Ca/Fe],[Ti/FeI],[Ti/FeII],[Cr/Fe],[Ni/Fe],[Ba/FeII]
19925,-1.02,0.28,0.51,0.43,0.68,0.50,0.19,0.48,0.29,-0.04,0.09,0.64
20766,-1.05,0.31,0.53,0.49,0.62,0.49,0.26,0.31,0.39,-0.01,0.04,0.45
21191,-1.06,0.34,0.51,0.55,0.59,0.54,0.24,0.31,0.32,-0.00,0.03,0.53
21728,-1.06,0.31,0.37,0.52,0.68,0.47,0.28,0.32,0.30,-0.04,0.03,0.48
22089,-1.06,0.35,0.50,0.30,,0.53,0.31,0.25,0.32,-0.15,0.03,0.46
24590,-1.07,0.50,0.30,0.61,,0.50,0.27,0.29,0.31,-0.09,0.04,0.33
25709,-1.13,0.44,0.34,0.54,0.59,0.53,0.35,0.26,0.33,-0.02,-0.01,0.35
26471,-1.10,0.41,0.09,0.59,0.58,0.45,0.30,0.23,0.31,0.00,-0.01,0.28
26794,-1.17,,0.36,0.53,,0.50,0.34,0.34,0.39,-0.01,0.03,0.33
27448,-1.12,0.51,0.11,0.50,0.42,0.45,0.29,0.39,0.36,-0.02,0.03,0.35
28103,-1.08,0.50,0.17,0.41,0.33,0.55,0.16,0.48,0.26,-0.11,0.01,0.26
28356,-1.14,0.44,0.37,0.55,0.57,0.53,0.28,0.29,0.37,0.04,0.05,0.39
28707,-1.03,,0.22,0.40,,0.43,0.20,0.27,0.26,-0.06,0.02,0.45
28797,-1.12,0.35,0.44,0.55,0.57,0.57,0.26,0.28,0.44,-0.12,0.01,0.53
28847,-1.16,0.52,0.08,0.52,,0.51,0.32,0.31,0.30,-0.09,-0.04,0.46
28977,-1.14,0.39,0.40,0.51,0.65,0.57,0.30,0.31,0.35,-0.02,0.05,0.42
29027,-1.10,0.51,0.02,0.48,,0.44,0.27,0.27,0.35,-0.01,-0.03,0.34
29065,-1.12,0.45,0.17,0.61,,0.48,0.27,0.21,0.35,-0.06,-0.01,0.35
29171,-0.99,0.22,0.41,0.43,,0.49,0.32,0.32,0.31,-0.04,-0.04,0.36
29222,-1.04,0.36,0.24,0.44,0.44,0.47,0.25,0.27,0.58,-0.06,0.05,0.39
29272,-1.11,0.53,0.05,0.47,,0.43,0.25,0.30,0.33,0.01,0.02,0.35
29282,-1.06,0.28,0.42,0.50,0.61,0.49,0.25,0.23,0.34,-0.07,0.02,0.27
29397,-1.12,0.24,0.46,0.55,0.51,0.53,0.20,0.20,0.15,-0.11,-0.03,0.43
29545,-1.06,0.47,-0.02,0.44,0.15,0.36,0.29,0.29,0.33,-0.07,0.00,0.20
29598,-1.06,0.39,0.40,0.48,,0.50,0.34,0.26,0.42,-0.04,0.02,0.28
29693,-1.19,0.26,0.50,0.60,0.64,0.55,0.14,0.23,0.28,-0.17,0.00,0.36
29848,-1.05,0.54,0.09,0.54,0.64,0.48,0.29,0.32,0.34,-0.01,-0.01,0.55
30209,-0.99,0.42,-0.05,0.46,,0.42,0.30,0.31,0.46,0.03,0.05,0.31
30345,-1.06,0.32,0.43,0.44,,0.53,0.28,0.28,0.52,-0.05,0.07,0.36
30450,-1.00,0.40,0.40,0.52,0.51,0.49,0.26,0.29,0.32,0.11,0.05,0.45
30452,-1.00,0.40,0.06,0.50,0.53,0.46,0.27,0.29,0.36,0.02,0.00,0.53
30549,-1.09,0.45,0.13,0.52,,0.48,0.34,0.31,0.35,0.00,0.06,0.40
30598,-1.07,0.43,0.05,0.54,0.37,0.54,0.25,0.33,0.41,0.01,0.05,0.52
30653,-1.06,0.47,0.15,0.47,0.46,0.51,0.27,0.21,0.32,-0.06,-0.01,0.45
30675,-1.07,0.36,0.41,0.55,0.65,0.50,0.36,0.32,0.42,-0.02,0.07,0.35
30711,-1.01,0.37,0.32,0.47,0.53,0.45,0.22,0.31,0.41,-0.07,0.02,0.46
30719,-1.19,0.44,0.42,0.50,0.68,0.46,0.33,0.27,0.48,-0.09,0.02,0.45
30751,-1.09,0.40,0.32,0.58,0.54,0.48,0.28,0.38,0.33,0.10,0.03,0.42
30924,-1.09,0.48,0.20,0.47,0.48,0.50,0.28,0.30,0.41,-0.05,0.02,0.40
30933,-1.07,0.44,0.44,0.44,,0.58,0.30,0.28,0.34,-0.08,0.02,0.46
31015,-1.07,0.50,0.00,0.51,0.36,0.42,0.33,0.32,0.40,0.06,-0.01,0.32
31306,-1.11,,0.40,0.41,0.53,0.45,0.29,0.33,0.38,0.03,0.04,0.36
31376,-1.00,0.33,0.43,0.46,0.59,0.43,0.29,0.29,0.34,-0.01,0.03,0.40
31532,-1.03,0.47,0.38,0.44,0.55,0.47,0.26,0.30,0.39,-0.08,0.00,0.49
31665,-1.07,0.48,0.02,0.49,0.29,0.46,0.31,0.26,0.35,-0.06,0.01,0.29
31803,-1.13,0.38,0.25,0.44,0.49,0.51,0.32,0.31,0.28,-0.10,-0.01,0.29
31845,-1.06,0.27,0.38,0.41,0.67,0.48,0.27,0.27,0.35,-0.09,0.02,0.47
32055,-1.12,0.31,0.40,0.55,0.59,0.52,0.27,0.39,0.28,0.03,0.00,0.45
32121,-0.93,,0.35,0.44,0.47,0.56,0.29,0.32,0.37,-0.08,0.02,0.38
32151,-1.07,,0.39,0.42,,0.49,0.29,0.26,0.34,-0.04,-0.01,0.33
32317,-1.07,0.37,0.37,0.54,,0.43,0.31,0.33,0.34,0.08,0.03,0.36
32347,-1.09,0.40,0.23,0.51,0.57,0.49,0.27,0.29,0.32,-0.06,0.03,0.43
32583,-1.08,0.46,0.07,0.46,0.50,0.39,0.31,0.32,0.34,-0.07,0.00,0.29
32627,-1.10,0.50,-0.03,0.51,0.36,0.34,0.29,0.26,0.38,-0.01,-0.00,0.36
32700,-1.02,0.49,0.06,0.61,0.56,0.47,0.22,0.37,0.39,0.06,0.00,0.52
32724,-1.03,0.51,0.11,0.48,0.53,0.39,0.30,0.34,0.39,-0.04,0.00,0.49
32782,-1.05,0.29,0.46,0.45,0.58,0.41,0.34,0.26,0.27,-0.07,-0.03,0.48
32871,-1.01,0.40,0.06,0.62,0.81,0.54,0.29,0.31,0.34,-0.05,0.01,0.65
32874,-1.14,0.41,0.11,0.55,0.52,0.42,0.26,0.27,0.32,0.02,-0.02,0.39
32933,-1.13,0.48,0.02,0.56,,0.54,0.20,0.29,0.22,-0.14,0.04,0.53
32968,-1.13,0.41,0.24,0.54,0.50,0.49,0.30,0.25,0.42,-0.03,0.01,0.48
32988,-1.09,0.51,0.02,0.44,,0.50,0.29,0.29,0.33,-0.03,-0.01,
33069,-0.92,0.39,0.23,0.37,0.59,0.43,0.20,0.34,0.42,-0.06,0.03,0.42
33195,-1.03,0.48,0.09,0.60,0.66,0.56,0.27,0.32,0.34,-0.02,0.04,
33414,-1.05,0.52,0.21,0.49,0.30,0.48,0.32,0.25,0.26,-0.05,0.00,0.36
33617,-1.09,0.29,0.37,0.54,0.58,0.51,0.32,0.26,0.31,-0.05,0.02,0.51
33629,-0.98,,0.31,0.39,0.68,0.55,0.28,0.33,0.37,-0.02,0.05,0.34
33683,-1.05,0.42,0.00,0.51,0.51,0.42,0.27,0.27,0.39,0.03,-0.03,0.56
33788,-1.02,0.30,0.37,0.47,0.50,0.43,0.28,0.28,0.33,-0.02,0.00,0.48
33900,-1.06,0.30,0.47,0.49,0.55,0.46,0.32,0.30,0.39,-0.05,0.01,0.42
33946,-1.03,0.23,0.32,0.42,0.60,0.45,0.30,0.29,0.33,-0.03,0.03,0.50
34006,-1.06,0.25,0.44,0.52,0.67,0.48,0.26,0.37,0.27,-0.08,0.04,0.42
34130,-1.09,0.33,0.43,0.53,0.59,0.51,0.29,0.26,0.34,-0.04,-0.01,0.47
34167,-1.10,,0.13,0.56,0.48,0.35,0.31,0.25,0.23,0.01,-0.02,0.04
34240,-1.10,0.47,0.08,0.55,0.55,0.49,0.25,0.35,0.30,0.04,0.03,0.47
34502,-1.08,0.35,0.34,0.47,0.49,0.47,0.28,0.33,0.38,-0.06,0.02,0.34
34579,-1.08,0.25,0.46,0.52,0.61,0.50,0.28,0.38,0.32,-0.06,0.02,0.46
34726,-1.01,0.37,0.42,0.49,0.60,0.46,0.28,0.31,0.34,-0.06,0.03,0.40
35022,-1.08,0.30,0.41,0.52,0.58,0.50,0.33,0.32,0.22,-0.05,0.02,0.34
35061,-0.99,0.50,0.06,0.50,0.52,0.40,0.24,0.24,0.33,-0.06,-0.01,0.39
35455,-1.06,0.45,0.01,0.49,0.49,0.44,0.24,0.23,0.37,-0.01,-0.02,0.53
35487,-1.00,0.36,0.30,0.42,0.55,0.44,0.27,0.32,0.43,-0.05,-0.01,0.51
35508,-1.05,0.25,0.38,0.41,0.45,0.45,0.27,0.22,0.27,-0.11,-0.05,0.46
35571,-0.99,0.45,-0.02,0.46,0.52,0.45,0.27,0.24,0.34,-0.09,-0.04,0.55
35627,-1.08,,0.04,0.56,0.51,0.38,0.33,0.26,0.38,-0.09,0.00,0.29
35688,-1.11,0.21,0.40,0.53,0.59,0.47,0.33,0.23,0.34,-0.04,0.02,0.40
35774,-1.10,0.43,0.24,0.54,0.51,0.53,0.26,0.36,0.31,-0.03,0.03,0.43
36215,-1.11,0.48,0.18,0.52,0.53,0.53,0.26,0.38,0.34,-0.04,0.02,0.46
36356,-1.05,0.30,0.26,0.44,0.45,0.50,0.28,0.27,0.43,-0.02,0.03,0.51
36929,-1.03,0.34,0.45,0.41,0.73,0.50,0.30,0.28,0.38,-0.04,0.01,0.46
36942,-0.98,0.55,0.04,0.52,0.37,0.45,0.24,0.27,0.37,-0.16,0.07,0.45
37215,-1.11,0.45,0.25,0.50,0.62,0.48,0.29,0.27,0.47,-0.07,-0.02,0.38
38075,-1.07,,0.42,0.53,0.71,0.54,0.33,0.27,0.31,-0.05,0.08,0.52
38383,-1.10,0.39,0.11,0.54,0.39,0.44,0.25,0.27,0.26,-0.06,-0.01,0.18
38399,-1.08,0.52,0.19,0.55,0.64,0.50,0.29,0.30,0.32,-0.03,0.04,0.42
38896,-1.02,0.31,0.43,0.48,0.49,0.47,0.28,0.33,0.39,-0.04,0.01,0.49
