Star,RAdeg,DEdeg,Teff,logg,Vt,Umag,Bmag,Vmag,Icmag,Jmag,Hmag,Kmag
19925,245.81007350,-26.60153694,4050,1.20,1.67,14.83,12.76,11.04,8.97,7.59,6.63,6.38
20766,245.80811060,-26.55680649,4400,1.80,1.45,14.89,13.53,12.10,10.33,9.07,8.24,8.07
21191,245.81900040,-26.53602484,4270,1.60,1.60,14.79,13.21,11.70,9.85,8.50,7.67,7.45
21728,245.81082240,-26.51303931,4525,2.00,1.42,15.05,13.86,12.51,10.78,9.50,8.75,8.51
22089,245.82041320,-26.49663964,4700,2.28,1.36,15.28,14.36,13.14,11.54,10.34,9.61,9.47
24590,245.91667710,-26.65088182,4850,2.66,1.35,16.89,14.67,13.44,11.88,10.79,10.11,9.94
25709,245.92048770,-26.62319472,4680,2.20,1.38,15.11,14.24,12.96,11.31,10.16,9.45,9.28
26471,245.88130650,-26.60513670,4800,2.40,1.28,15.38,14.70,13.49,11.87,10.73,10.05,9.90
26794,245.90940720,-26.59866016,4800,2.45,1.44,15.69,14.94,13.71,12.08,10.92,10.25,10.07
27448,245.95330690,-26.58586889,4310,1.57,1.58,,13.24,11.73,9.86,8.57,7.71,7.53
28103,245.84921830,-26.57493123,3860,0.50,1.62,14.75,12.52,10.71,8.51,7.01,6.03,5.75
28356,245.97324550,-26.57086633,4600,2.22,1.53,14.93,13.92,12.57,10.87,9.67,8.92,8.72
28707,245.93837450,-26.56579907,4880,2.74,1.31,15.59,14.84,13.61,11.99,10.80,10.14,9.95
28797,245.97434580,-26.56458317,4640,2.35,1.36,15.13,14.22,12.93,11.30,10.12,9.43,9.21
28847,245.90471930,-26.56390736,4780,2.40,1.27,15.43,14.76,13.54,11.88,10.67,9.98,9.77
28977,245.94551720,-26.56218478,4680,2.33,1.40,15.22,14.31,13.02,11.36,10.14,9.44,9.26
29027,245.84810750,-26.56146317,4720,2.40,1.41,15.18,14.40,13.16,11.48,10.29,9.58,9.39
29065,245.94135950,-26.56081120,4650,2.10,1.41,15.08,14.27,12.98,11.31,10.10,9.42,9.24
29171,245.89969150,-26.55958664,4880,2.64,1.26,15.72,14.95,13.73,12.09,10.88,10.16,10.00
29222,245.84606690,-26.55896241,4720,2.50,1.36,15.28,14.42,13.17,11.52,10.32,9.59,9.41
29272,245.86286750,-26.55825152,4780,2.50,1.26,15.32,14.64,13.42,11.76,10.54,9.86,9.67
29282,245.85544600,-26.55811142,4650,2.30,1.42,15.17,14.17,12.88,11.18,9.91,9.20,8.98
29397,245.87588880,-26.55671383,4600,1.50,1.78,14.60,13.53,12.20,10.47,9.25,8.54,8.32
29545,245.92749790,-26.55485385,4880,2.61,1.18,15.53,14.96,13.79,12.23,11.08,10.43,10.24
29598,245.88908940,-26.55414514,4840,2.50,1.40,15.65,14.89,13.68,12.05,10.86,10.19,10.01
29693,245.88094110,-26.55307864,4360,1.10,1.88,14.67,13.27,11.80,9.96,8.63,7.79,7.64
29848,245.89219050,-26.55108648,4780,2.52,1.24,15.48,14.75,13.52,11.87,10.69,10.00,9.83
30209,245.89243520,-26.54681482,4880,2.62,1.32,15.52,14.87,13.66,12.05,10.84,10.15,9.99
30345,245.94994400,-26.54524113,4850,2.73,1.31,15.64,15.00,13.84,12.31,11.19,10.55,10.39
30450,245.86144840,-26.54411333,4760,2.53,1.35,15.44,14.59,13.34,11.69,10.47,9.78,9.59
30452,245.88768830,-26.54411091,4830,2.56,1.25,15.72,15.07,13.88,12.26,11.07,10.38,10.22
30549,245.88815200,-26.54294543,4830,2.52,1.28,15.52,14.86,13.66,12.05,10.76,10.13,9.99
30598,245.89661740,-26.54235225,4360,1.75,1.47,14.72,13.49,12.05,10.23,8.83,8.03,7.75
30653,245.88793300,-26.54184062,4660,2.30,1.25,15.23,14.40,13.14,11.50,10.29,9.56,9.38
30675,245.90236690,-26.54157800,4830,2.58,1.35,15.52,14.77,13.58,12.00,,,
30711,245.85156170,-26.54123206,4560,2.25,1.46,15.04,13.86,12.49,10.73,9.44,8.66,8.46
30719,245.90310860,-26.54116153,4810,2.65,1.24,15.79,15.13,13.97,12.43,,,
30751,245.94302430,-26.54089574,4430,1.78,1.47,14.83,13.61,12.20,10.45,9.19,8.36,8.16
30924,245.89624320,-26.53883396,4810,2.60,1.28,15.48,14.79,13.61,12.03,9.55,8.81,8.40
30933,245.95895830,-26.53873652,4800,2.63,1.30,15.46,14.70,13.49,11.92,10.77,10.12,9.91
31015,245.89710880,-26.53795346,4800,2.47,1.37,14.91,14.21,13.00,11.38,10.17,9.48,9.29
31306,245.92607560,-26.53505913,4900,2.87,1.33,15.79,15.12,13.97,12.44,11.32,10.64,10.50
31376,245.91219110,-26.53432365,4800,2.59,1.36,15.37,14.52,13.29,11.68,10.46,9.79,9.59
31532,245.89561610,-26.53290071,4770,2.60,1.21,15.28,14.53,13.33,11.76,10.54,9.85,9.72
31665,245.93007130,-26.53164468,4650,2.17,1.34,14.94,14.12,12.85,11.18,9.96,9.25,9.04
31803,245.90925770,-26.53023616,4850,2.60,1.34,15.77,15.14,13.99,12.46,11.31,10.64,10.51
31845,245.85370350,-26.52982260,4700,2.42,1.31,15.23,14.34,13.09,11.44,10.16,9.49,9.29
32055,245.91709840,-26.52773869,4300,1.57,1.52,14.71,13.36,11.88,10.06,8.71,7.90,7.66
32121,245.83812920,-26.52713080,4840,2.58,1.33,15.49,14.67,13.45,11.84,10.64,9.93,9.75
32151,245.83708630,-26.52688433,4770,2.43,1.38,15.41,14.59,13.38,11.75,10.54,9.84,9.70
32317,245.86225000,-26.52536111,4510,1.88,1.43,15.06,13.93,12.56,,9.51,8.76,8.57
32347,245.92079170,-26.52505556,4640,2.22,1.38,,,,,9.92,9.20,9.00
32583,245.89985980,-26.52267062,4850,2.54,1.34,15.46,14.80,13.61,12.03,10.80,10.16,9.95
32627,245.97840770,-26.52219757,4750,2.42,1.30,15.01,14.34,13.14,11.59,10.48,9.79,9.61
32700,245.91714040,-26.52145861,4560,2.12,1.36,14.88,13.86,12.52,10.80,9.54,8.81,8.57
32724,245.92395710,-26.52127838,4850,2.73,1.30,15.53,14.82,13.62,12.04,10.88,10.20,10.04
32782,245.89106390,-26.52065353,4880,2.60,1.24,15.81,15.10,13.94,12.38,,,
32871,245.85272450,-26.51984366,4770,2.48,1.24,15.65,14.92,13.72,12.09,10.88,10.22,10.01
32874,245.91452240,-26.51985129,4600,2.04,1.38,14.82,13.99,12.72,11.07,9.86,9.13,8.93
32933,245.83915100,-26.51926550,4430,1.42,1.78,14.54,13.29,11.87,10.08,8.81,8.02,7.79
32968,245.89176500,-26.51884367,4630,2.17,1.30,15.06,14.21,12.96,11.32,10.07,9.41,9.15
32988,245.90955560,-26.51865553,4850,2.63,1.22,15.43,14.88,13.75,12.22,11.08,10.40,10.22
33069,245.94851290,-26.51783666,4940,3.05,1.36,15.45,14.71,13.53,11.99,10.86,10.19,10.02
33195,245.86426280,-26.51654913,4620,2.38,1.26,15.30,14.39,13.12,11.45,10.23,9.50,9.36
33414,245.84207930,-26.51444711,4840,2.51,1.28,15.51,14.84,13.67,12.08,10.90,10.21,10.09
33617,245.86252960,-26.51233938,4720,2.35,1.26,15.38,14.57,13.36,11.76,10.59,9.86,9.68
33629,245.83816250,-26.51221901,4930,2.80,1.33,15.77,15.06,13.90,12.34,11.17,10.48,10.36
33683,245.89914420,-26.51176320,4800,2.57,1.18,15.29,14.66,13.48,11.91,10.78,10.09,9.89
33788,245.91070220,-26.51060047,4700,2.37,1.33,15.15,14.24,12.99,11.38,10.16,9.44,9.27
33900,245.84591550,-26.50933155,4770,2.48,1.27,15.48,14.69,13.51,11.93,10.67,10.03,9.92
33946,245.84147130,-26.50887807,4800,2.62,1.15,15.63,14.89,13.71,12.14,10.95,10.29,10.15
