source_id,original_ext_source_id,angular_distance,xm_flag,clean_tmass_psc_xsc_oid,number_of_neighbours,number_of_mates
6045465643673557760,16235026-2629258,0.029667867,8,195679905,1,0
6045466399577821440,16234899-2629191,0.08814902,8,195688156,1,0
6045466399587848704,16234975-2628517,0.037614103,8,195721908,1,0
6045466433947664256,16234134-2629087,0.057647634,8,195700898,1,0
6045466571386686208,16233236-2629222,0.04215923,8,195684368,1,0
6045466674465880064,16234308-2628074,0.081679314,8,195776184,1,0
6045477841381440384,16231690-2629479,0.020359408,8,195652968,1,0
6045477910100876544,16232252-2629422,0.065914154,8,195659842,1,0
6045477944460600960,16232785-2629114,0.043831322,8,195697635,1,0
6045477978820371712,16232341-2629097,0.015735898,8,195699739,1,0
6045478047540140544,16231206-2629436,0.06545423,8,195658177,1,0
6045478081899629696,16231823-2629072,0.03359494,8,195702792,1,0
6045478184978847616,16232141-2628335,0.032511007,8,195744342,1,0
6045478288058130304,16231764-2627102,0.023838634,8,195846341,1,0
6045478356777481984,16233380-2627497,0.012773687,8,195797845,1,0
6045478528576252288,16233236-2626205,0.057257403,8,195908516,1,0
6045478558624847488,16233593-2626205,0.060754202,8,195908467,1,0
6045478666015246592,16232169-2626468,0.045076545,8,195875230,1,0
6045478730423545984,16232938-2626276,0.0317086,8,195899478,1,0
6045478734734712832,16232814-2626085,0.03285871,8,195923452,1,0
6045478764783374208,16233129-2625157,0.055018187,8,195989206,1,0
6045479078332149632,16231153-2626407,0.070634425,8,195882970,1,0
6045479490649030272,16231729-2624578,0.054513037,8,196010986,1,0
6045489351894331776,16241470-2627167,0.03887841,8,195838347,1,0
6045489901650196864,16235300-2628065,0.028292105,8,195777202,1,0
6045490103497000320,16235651-2625284,0.05384201,8,195973597,1,0
6045490210887898368,16234320-2626417,0.13804698,8,195881725,1,0
6045501961918453504,16233885-2625427,0.02737376,8,195955494,1,0
6045501996278180992,16234351-2625375,0.10065935,8,195962234,1,0
6045502305515873024,16233250-2624340,0.07846437,8,196039635,1,0
6045502477314585728,16233893-2622094,0.11028789,8,196215713,1,0
6045503057118542208,16232982-2623253,0.027819326,8,196122981,1,0
