source_id,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,mg_gspphot,mg_gspphot_lower,mg_gspphot_upper,teff_gspspec,teff_gspspec_lower,teff_gspspec_upper,logg_gspspec,logg_gspspec_lower,logg_gspspec_upper,mh_gspspec,mh_gspspec_lower,mh_gspspec_upper,alphafe_gspspec,alphafe_gspspec_upper,alphafe_gspspec_lower
6045465643673557760,,,,,,,,,,,,,,,,,,,,,,5127.0,4875.0,5358.0,3.45,2.97,3.73,-0.57,-1.04,-0.37,-0.06,0.37,-0.17
6045466399577821440,2.9827,2.921,3.0893,5480.0894,5429.2554,5600.6577,-1.6625,-1.8595,-1.5986,1497.5741,1337.0415,1600.0693,1.3213,1.2933,1.3904,0.7313,0.7156,0.772,1.089,0.9701,1.2609,,,,,,,,,,,,
6045466399587848704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6045466433947664256,4.03,4.0048,4.1077,15009.092,15001.81,15032.2295,0.0838,0.0505,0.0977,1559.5725,1426.3381,1611.44,2.8582,2.8573,2.8596,1.5662,1.5657,1.5668,-0.8914,-0.9673,-0.6671,5885.0,5717.0,6101.0,2.81,2.22,3.43,-1.11,-1.36,-0.65,0.28,0.5,-0.0
6045466571386686208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6045466674465880064,,,,,,,,,,,,,,,,,,,,,,5148.0,4939.0,5362.0,3.69,3.47,3.87,-0.55,-0.83,-0.31,-0.06,0.21,-0.16
6045477841381440384,,,,,,,,,,,,,,,,,,,,,,4979.0,4919.0,5070.0,2.45,2.24,2.79,-0.61,-0.71,-0.5,-0.02,0.09,-0.1
6045477910100876544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6045477944460600960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6045477978820371712,,,,,,,,,,,,,,,,,,,,,,6054.0,5601.0,6386.0,3.54,2.73,3.91,-0.46,-1.0,-0.07,-0.17,0.02,-0.39
6045478047540140544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6045478081899629696,3.4858,3.4632,3.4985,5892.11,5881.206,5914.5654,-0.578,-0.5796,-0.5751,1627.1763,1601.8232,1672.8219,1.469,1.4633,1.4806,0.8058,0.8027,0.8123,1.8666,1.7992,1.904,,,,,,,,,,,,
6045478184978847616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6045478288058130304,3.9372,3.9279,3.9456,15000.8545,15000.195,15002.369,0.0924,0.0778,0.0986,1711.957,1691.316,1733.7844,2.9272,2.9267,2.9277,1.6056,1.6053,1.6059,-1.1719,-1.1994,-1.1453,6705.0,6464.0,6935.0,4.02,3.57,4.33,-0.56,-0.93,-0.36,0.31,0.51,0.08
6045478356777481984,3.0804,2.9905,3.1596,5855.649,5813.9946,5878.882,-0.4062,-0.4229,-0.4037,1575.7476,1431.0974,1750.4166,1.6493,1.6259,1.6625,0.9015,0.8887,0.9089,0.5429,0.3372,0.7667,,,,,,,,,,,,
6045478528576252288,,,,,,,,,,,,,,,,,,,,,,5000.0,4900.0,5087.0,2.77,2.51,3.02,-0.94,-1.24,-0.67,0.24,0.47,0.09
6045478558624847488,,,,,,,,,,,,,,,,,,,,,,5390.0,5042.0,5535.0,2.37,1.88,3.21,-0.96,-1.42,-0.65,0.09,0.55,-0.21
6045478666015246592,2.2977,2.2373,2.3767,5321.811,5287.9614,5385.8423,-1.2032,-1.2244,-1.1803,2217.2405,2063.5728,2344.4124,1.3708,1.3483,1.4128,0.7533,0.7404,0.7768,-0.0323,-0.1257,0.0751,4880.0,4710.0,5269.0,2.85,2.46,3.54,-0.67,-1.06,-0.43,-0.05,0.28,-0.16
6045478730423545984,3.5638,3.4726,3.5833,7170.144,6963.297,7192.1777,-0.6935,-0.6973,-0.6893,1407.2861,1377.3951,1545.2559,2.1689,2.0786,2.1789,1.1904,1.1419,1.1957,1.0601,0.935,1.0837,,,,,,,,,,,,
6045478734734712832,3.9466,3.9192,3.9624,15004.247,15000.8545,15022.066,-0.7318,-0.8043,-0.6998,1364.8071,1334.4127,1423.9731,3.0143,3.0127,3.0154,1.6548,1.654,1.6556,-0.8519,-0.9468,-0.8015,6679.0,6310.0,6864.0,4.34,4.18,4.49,-0.32,-0.53,-0.15,-0.03,0.14,-0.15
6045478764783374208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6045479078332149632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6045479490649030272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
