,WID,POPCUBI,RCMD/R⊙,,,M3/M⊙,,,fΔν,M1/M⊙,M2/M⊙,M4/M⊙,RS/R⊙
0,W491,2G,8.879±0.605,1.097±0.191,0.817±0.179,0.902±0.119,1.034±0.132,9.793±0.805,0.956,0.915±0.159,0.895±0.196,0.911±0.116,8.943±0.735
1,W508,2G,6.298±0.406,1.175±0.180,0.793±0.161,0.904±0.114,1.086±0.125,7.179±0.491,0.965,1.018±0.156,0.852±0.173,0.983±0.113,6.684±0.457
2,W760,2G,12.708±0.877,1.159±0.243,0.736±0.159,0.856±0.122,1.059±0.171,14.788±1.247,0.948,0.938±0.196,0.818±0.177,0.913±0.147,13.302±1.121
3,W779,1G,7.431±0.503,0.993±0.169,0.825±0.174,0.877±0.119,0.956±0.125,7.906±0.559,0.959,0.838±0.143,0.897±0.189,0.850±0.111,7.264±0.513
4,W799,rHB,7.321±0.436,0.907±0.171,0.444±0.082,0.563±0.068,0.786±0.116,9.291±0.684,1.054,1.120±0.211,0.399±0.074,0.911±0.134,10.324±0.760
5,W837,2G,4.591±0.284,0.930±0.128,0.734±0.142,0.794±0.096,0.887±0.092,4.967±0.300,0.971,0.827±0.114,0.778±0.150,0.817±0.085,4.686±0.283
6,W1068,2G,6.389±0.415,1.068±0.218,0.793±0.167,0.876±0.114,1.006±0.153,7.056±0.642,0.963,0.920±0.188,0.854±0.180,0.907±0.138,6.550±0.596
7,W1091,2G,9.921±0.673,1.160±0.396,0.813±0.207,0.916±0.128,1.081±0.267,11.169±1.791,0.954,0.960±0.327,0.894±0.227,0.946±0.234,10.158±1.629
8,W1156,1G,7.444±0.504,1.370±0.289,0.653±0.148,0.836±0.109,1.181±0.179,9.530±0.982,0.957,1.150±0.243,0.713±0.162,1.045±0.158,8.730±0.900
9,W1225,rHB,7.862±0.483,0.516±0.160,0.742±0.171,0.657±0.080,0.555±0.125,6.964±1.016,1.031,0.583±0.181,0.698±0.160,0.605±0.136,7.406±1.080
10,W1582,1G,6.453±0.419,1.300±0.347,0.749±0.173,0.900±0.115,1.164±0.224,7.756±0.992,0.963,1.120±0.299,0.807±0.186,1.049±0.202,7.199±0.921
11,W1608,rHB,8.228±0.498,0.775±0.181,0.587±0.111,0.644±0.082,0.733±0.135,9.026±0.781,1.035,0.890±0.208,0.548±0.103,0.807±0.148,9.673±0.837
12,W1717,2G,5.977±0.380,0.973±0.314,0.869±0.215,0.903±0.111,0.951±0.217,6.206±0.989,0.966,0.848±0.273,0.931±0.230,0.864±0.197,5.796±0.923
13,W1763,2G,13.993±0.971,1.142±0.387,0.734±0.161,0.851±0.142,1.046±0.278,16.214±2.021,0.948,0.923±0.313,0.816±0.180,0.901±0.240,14.579±1.818
14,W1912,2G,5.336±0.336,0.918±0.469,0.836±0.263,0.863±0.106,0.901±0.324,5.506±1.397,0.969,0.809±0.413,0.891±0.281,0.825±0.296,5.167±1.311
15,W2021,1G,7.957±0.539,0.942±0.185,0.797±0.176,0.843±0.112,0.911±0.131,8.413±0.768,0.956,0.785±0.154,0.873±0.192,0.802±0.116,7.682±0.701
16,W2022,1G,13.220±0.911,0.996±0.194,0.740±0.162,0.817±0.113,0.939±0.139,14.594±1.216,0.947,0.801±0.156,0.826±0.180,0.806±0.119,13.089±1.091
17,W2034,1G,10.139±0.692,1.070±0.304,0.692±0.163,0.800±0.112,0.981±0.205,11.726±1.509,0.949,0.867±0.246,0.769±0.181,0.846±0.177,10.553±1.358
18,W2162,2G,9.341±0.636,1.160±0.429,0.805±0.213,0.909±0.126,1.079±0.287,10.553±1.859,0.955,0.964±0.356,0.883±0.234,0.947±0.252,9.619±1.695
19,W2386,rHB,7.891±0.485,0.648±0.106,0.730±0.143,0.701±0.083,0.663±0.080,7.582±0.564,1.035,0.743±0.121,0.681±0.134,0.730±0.088,8.122±0.604
20,W2665,2G,12.783±0.879,1.163±0.186,0.730±0.159,0.853±0.114,1.059±0.124,14.927±1.117,0.949,0.943±0.151,0.811±0.177,0.915±0.108,13.447±1.006
21,W2678,1G,9.716±0.662,1.203±0.388,0.750±0.192,0.878±0.117,1.095±0.251,11.377±1.796,0.952,0.989±0.319,0.827±0.212,0.955±0.219,10.315±1.629
22,W2887,rHB,6.969±0.415,2.803±0.791,0.288±0.059,0.614±0.080,1.778±0.377,14.885±1.811,1.052,3.437±0.970,0.260±0.054,2.051±0.435,16.483±2.006
23,W3033,2G,9.414±0.638,1.097±0.393,0.769±0.200,0.866±0.120,1.022±0.264,10.597±1.803,0.953,0.905±0.324,0.847±0.220,0.893±0.231,9.624±1.638
24,W3041,1G,6.758±0.441,0.985±0.512,0.793±0.255,0.852±0.110,0.943±0.346,7.266±1.867,0.960,0.838±0.436,0.859±0.276,0.842±0.309,6.701±1.722
25,W3073,2G,6.809±0.460,0.942±0.213,0.817±0.188,0.857±0.112,0.916±0.147,7.140±0.790,0.961,0.803±0.181,0.885±0.204,0.819±0.132,6.593±0.729
26,W3480,2G,8.097±0.529,1.092±0.187,0.795±0.165,0.884±0.114,1.025±0.131,9.001±0.695,0.957,0.916±0.157,0.868±0.180,0.906±0.116,8.244±0.637
27,W3528,1G,7.066±0.458,1.141±0.234,0.777±0.158,0.883±0.119,1.056±0.167,8.030±0.661,0.960,0.969±0.199,0.843±0.172,0.943±0.149,7.402±0.609
28,W3564,2G,9.664±0.654,1.086±0.288,0.803±0.187,0.888±0.121,1.022±0.198,10.688±1.312,0.953,0.896±0.237,0.883±0.206,0.894±0.173,9.712±1.192
29,W3742,1G,9.647±0.661,1.258±0.379,0.838±0.206,0.959±0.132,1.159±0.252,11.047±1.573,0.955,1.047±0.315,0.918±0.226,1.019±0.222,10.077±1.435
30,W3929,rHB,7.067±0.422,1.100±0.318,0.448±0.097,0.604±0.070,0.919±0.194,9.535±1.271,1.058,1.379±0.398,0.400±0.087,1.076±0.227,10.677±1.423
31,W4488,2G,10.131±0.690,0.515±0.134,1.065±0.229,0.836±0.125,0.595±0.121,7.950±0.798,0.951,0.420±0.110,1.179±0.254,0.517±0.105,7.183±0.721
