source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,priam_flags,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper
6045465643673557760,245.9593639677339,0.03271372607274575,-26.490607768842697,0.0172574127153317,0.486039573502826,0.03326269750060623,12.930931,13.669668,12.090792,1.5788765,0.7387371,0.8401394,4350.3,4221.48,4609.76,0.7652,0.6945,0.909,100002,200111,9.485785,8.448022,10.073541,29.03474,25.66756,32.40192
6045466399577821440,245.95407744061043,0.028963249654329077,-26.488774835748664,0.01551673713394574,0.6664084648743073,0.030785873841427256,13.312225,13.969194,12.420455,1.5487394,0.6569691,0.89177036,4374.697,4158.09,4483.0,,,,100002,200111,5.7071657,5.434742,6.317259,10.747996,9.550706,11.945287
6045466399587823744,245.9539138765055,0.0798690697051611,-26.48842619157311,0.034233692677085974,0.5259912131819523,0.10945521189170483,15.735296,,,,,,,,,,,,,,,,,,,
6045466399587848704,245.95722853474297,0.022838465191968634,-26.481136241095157,0.01190159178038182,0.4711343609152328,0.02338723851201625,13.51206,14.223417,12.685476,1.537941,0.7113571,0.82658386,4334.8477,4147.0,4650.032,,,,100002,200111,7.569405,6.578055,8.270682,18.22693,15.881364,20.572496
6045466433947664256,245.92221447813344,0.02731133284056094,-26.485872415498285,0.013373822470603132,0.5505446041330037,0.02772114685908201,13.00491,13.599105,12.256114,1.3429909,0.5941944,0.74879646,4771.5767,4551.0864,5028.0,,,,100001,200111,6.215717,5.597892,6.832582,18.043665,16.059362,20.027967
6045466571386686208,245.88478499265133,0.02689624836519401,-26.48960221192359,0.012506645749573601,0.5121866405101223,0.02832548086230617,13.377395,14.120548,12.526903,1.5936451,0.7431536,0.8504915,4319.4,4114.89,4526.04,,,,100001,200111,7.4891944,6.8209543,8.252118,17.589706,15.19553,19.983883
6045466674465880064,245.92949388479545,0.024007175723129076,-26.46882190146272,0.012152670873027398,0.5404290981435571,0.024801637359590834,13.055359,13.7998495,12.206025,1.5938244,0.7444906,0.84933376,4387.0,4171.4165,4615.1577,,,,100001,200111,7.854824,7.097389,8.687696,20.589138,18.268389,22.909887
6045477841381440384,245.82036164656978,0.044489235092497526,-26.496738845230627,0.018363581585143337,0.5467237852975384,0.04609465053966348,12.588741,13.385237,11.711128,1.6741085,0.79649544,0.87761307,4206.1924,4013.64,4479.3076,1.0093,0.8326,1.1934,100001,200111,10.955441,9.660205,12.03182,33.846283,29.839622,37.852943
6045477910100876544,245.84380193780973,0.02206911720607274,-26.495158794152054,0.010895982219198085,0.4955750238323788,0.022773707643849853,13.549961,14.302608,12.692775,1.6098328,0.75264645,0.8571863,4285.27,4141.95,4408.6626,,,,100001,200111,7.325083,6.9207826,7.8407784,16.301687,14.3446,18.258774
6045477944460600960,245.86601334332715,0.022712571173861083,-26.48662561967936,0.011267701344208412,0.49009065241478356,0.023410469374228898,13.780815,14.511988,12.936765,1.575223,0.73117256,0.8440504,4360.53,4212.745,4687.892,,,,100001,200111,6.315519,5.4642725,6.766392,12.991815,11.38347,14.60016
