dr2_source_id,dr3_source_id,angular_distance,magnitude_difference,proper_motion_propagation
6045465643673557760,6045465643673557760,0.06844273,-0.013783455,true
6045466399587823744,6045466399577821440,1361.3004,-2.431347,true
6045466399577821440,6045466399577821440,0.0707596,-0.008275986,true
6045466399587848704,6045466399587848704,0.04105768,-0.013168335,true
6045466433947664256,6045466433947664256,0.051090688,-0.011411667,true
6045466571386686208,6045466571386686208,0.0632138,-0.0133981705,true
6045466674465880064,6045466674465880064,0.046510648,-0.013713837,true
6045477841381440384,6045477841381440384,0.12242599,-0.013515472,true
6045477910100876544,6045477910100876544,0.06036525,-0.013996124,true
6045477944460600960,6045477944460600960,0.04439284,-0.013763428,true
6045477978820371712,6045477978820371712,0.06570936,-0.0120334625,true
6045478047540140544,6045478047540140544,0.056860246,-0.01130867,true
6045478081899629696,6045478081899629696,0.041830674,-0.013995171,true
6045478184978847616,6045478184978847616,0.051402465,-0.01451683,true
6045478288058130304,6045478288058130304,0.05578515,-0.012467384,true
6045478356777481984,6045478356777481984,0.033460468,-0.013409615,true
6045478528576252288,6045478528576252288,0.11695754,-0.012928009,true
6045478558624847488,6045478558624847488,0.043624412,-0.012407303,true
6045478666015246592,6045478666015246592,0.061032746,-0.0140628815,true
6045478730423545984,6045478730423545984,0.04542745,-0.011152267,true
6045478734734712832,6045478734734712832,0.06496339,-0.012964249,true
6045478764783374208,6045478764783374208,0.041918293,-0.013809204,true
6045479078332149632,6045479078332149632,0.06549702,-0.014752388,true
6045479490649030272,6045479490649030272,0.070787854,-0.014324188,true
6045489351894331776,6045489351894331776,0.068385236,-0.013561249,true
6045489901650196864,6045489901650196864,0.09706852,-0.01330471,true
6045490103497000320,6045490103497000320,0.0879233,-0.01184845,true
6045490210887898368,6045490210887898368,0.031966053,-0.013324738,true
6045501961918453504,6045501961918453504,0.12121775,-0.013506889,true
6045501996278180992,6045501996278180992,0.058333486,-0.013855934,true
6045501996271740032,6045501996278180992,1908.7067,-6.465473,true
6045502305515873024,6045502305515873024,0.055594116,-0.013735771,true
6045502477314585728,6045502477314585728,0.072000206,-0.013990402,true
6045503057118542208,6045503057118542208,0.106700234,-0.013477325,true
