ID,DR,Gaia,RAhRAmRAs,DEdDEmDEs,Gmag,GBPmag,GRPmag,N,RMS,Mm,n_
V6,DR2,6045478696063803648,162325.76,-262616.7,13.25,13.68,12.63,3773,120.82,1.000,
V7,DR2,6045478391137284224,162325.92,-262742.3,13.28,13.80,12.61,3762,285.46,1.000,
V8,DR2,6045477910100852736,162326.12,-262942.0,13.23,13.64,12.49,3773,255.69,1.000,
V9,DR2,6045477910100361600,162326.76,-262948.4,13.10,13.59,12.44,3773,256.94,1.000,
V10,DR2,6045478322417726848,162329.17,-262854.7,13.19,13.64,12.53,3087,155.06,1.000,
V13,DR2,6045478425497018240,162330.88,-262704.4,10.04,11.15,9.05,3600,0.97,1.000,
V15,DR2,6045502305516138368,162331.93,-262418.5,13.38,13.92,12.68,2855,151.47,1.000,
V19,DR2,6045478562936001920,162335.02,-262536.8,13.21,13.67,12.57,2987,163.62,1.000,
V27,DR2,6045466674465916416,162343.14,-262716.7,12.96,13.43,12.31,3773,219.03,0.999,
V29,DR2,6045502679159938560,162358.22,-262135.4,13.05,13.52,12.42,3666,202.49,1.000,
V61,DR2,6045466193429560704,162329.72,-262950.7,13.08,13.41,12.55,3773,46.05,1.000,
V66,DR2,6045477944460616704,162325.53,-262912.1,16.59,17.06,15.86,3773,79.09,1.000,
SC3,DR2,6045478459856719104,162335.57,-262708.3,16.32,17.06,15.42,3612,2.32,0.000,
SC4,DR2,6045502099357410688,162344.77,-262429.4,14.88,15.44,14.15,3724,13.19,0.000,
SC5,DR2,6045478562928331520,162334.58,-262541.6,18.73,18.90,17.86,1875,948.89,0.000,
W1,DR2,6045480761959390976,162253.33,-262607.8,18.31,18.85,17.45,3625,7.13,1.000,
W2,DR2,6045480654568827264,162253.45,-262705.5,17.56,18.11,16.77,3637,3.65,1.000,
W3,DR2,6045480761959397888,162253.69,-262534.5,17.27,17.80,16.51,3623,2.92,1.000,
W4,DR2,6045480757648152064,162253.77,-262553.8,18.95,19.47,18.00,3621,12.95,1.000,
W5,DR2,6045480693232431360,162253.98,-262650.8,18.47,19.01,17.56,3629,7.83,1.000,
W6,DR2,6045480658880155392,162254.01,-262726.5,17.83,18.38,17.03,3611,4.48,1.000,
W7,DR2,6045480761951939712,162254.07,-262546.0,18.01,18.53,17.14,3615,5.74,1.000,
W8,DR2,6045477493472700416,162254.10,-262926.0,18.01,18.60,17.16,3610,9.03,1.000,
W9,DR2,6045477532143925248,162254.18,-262919.5,16.37,16.93,15.61,3622,2.02,1.000,
W10,DR2,6045477596551963392,162254.21,-262837.2,17.99,18.55,17.14,3597,4.93,1.000,
W11,DR2,6045477527839378176,162254.29,-262856.5,18.42,18.93,17.52,3616,8.13,1.000,
W12,DR2,6045477497784179200,162254.32,-262935.9,18.27,18.83,17.39,3603,7.16,1.000,
W13,DR2,6045480658880161024,162254.37,-262701.4,17.36,17.91,16.59,3605,2.93,1.000,
W14,DR2,6045477703942649984,162254.61,-262738.9,16.93,17.48,16.18,3627,2.03,1.000,
W15,DR2,6045477527832452096,162254.72,-262905.9,17.19,17.86,16.33,3599,2.69,0.000,
W16,DR2,6045480757648151936,162254.82,-262552.9,18.38,18.86,17.31,3615,7.37,1.000,
W17,DR2,6045480693239907712,162254.85,-262625.2,17.34,17.89,16.57,3623,3.09,1.000,
W18,DR2,6045477527832424576,162254.89,-262926.1,19.10,19.61,18.10,3610,14.59,1.000,
W19,DR2,6045477600863417856,162255.09,-262830.2,17.51,18.05,16.72,3609,3.52,1.000,
W20,DR2,6045477699631303552,162255.17,-262719.9,18.30,18.93,17.43,3631,6.28,0.000,
W21,DR2,6045477497776605440,162255.25,-262943.0,16.74,17.21,15.89,3609,2.03,1.000,
W22,DR2,6045480688928554880,162255.29,-262710.8,19.11,19.65,18.17,3630,13.23,1.000,
W23,DR2,6045477527838088576,162255.31,-262840.1,17.91,18.45,17.06,3628,5.32,1.000,
W24,DR2,6045477527842292864,162255.32,-262843.2,17.21,17.74,16.42,3617,2.77,1.000,
