,massini,zini,yini,alphaMLT,age,eta,alphaFe,FeH,LPhot,Teff,numax,dnuSer,logLPhot
960,0.865,0.0003402110000000347,0.223776855,1.52324219,11269.7343,0.238696289,0.0,-1.6094461742519652,22.578350735829435,5131.217421,0.02515322036220653,0.06179559758945563,1.3536922151581197
591,0.903,0.009611334000000027,0.306193237,2.1934082,11172.26771,0.235748291,0.0,-0.09667221538175438,43.83222516900677,4800.375148,0.010709421716576668,0.03085511139817733,1.6417935184315346
518,0.719,0.00035019699999999654,0.339494629,2.02910156,10790.11599,0.119018555,0.0,-1.528239477802757,86.53958195527821,5171.883165,0.0056027989329061785,0.020623342583685342,1.9372147929316403
981,1.153,0.018458525999999975,0.220174561,2.12099609,11286.22688,0.177502441,0.0,0.1449593928248822,51.73567202288092,4512.262816,0.009341125075504495,0.025641349095860813,1.7137900947477718
923,0.865,0.0003402110000000347,0.223776855,1.52324219,11258.16504,0.238696289,0.0,-1.6099866015340483,20.477081216848674,5148.558442,0.02806959770111391,0.0672445505224394,1.311268052804074
812,0.876,0.0005851540000000044,0.230695801,1.55644531,10655.72627,0.00739746094,0.0,-1.3679084473410963,24.46465388195528,5087.453311,0.0229088462077325,0.057013265116823676,1.3885390758809468
451,0.735,0.0007144290000000164,0.328219604,2.20083008,11130.88628,0.177593994,0.0,-1.224410882033151,129.35135904836193,5087.752163,0.0036023009369757723,0.014652240379216922,2.1117709960529765
662,0.851,0.0013426080000000784,0.254015503,2.11137695,11181.83991,0.0491271973,0.0,-0.9918327901824857,52.45279056162247,5134.027043,0.010703604037316534,0.03217653931401662,1.7197685982164292
494,1.081,0.01730601799999998,0.25166687,2.29379883,11150.66193,0.139801025,0.0,0.13346063503068045,37.43563439937598,4730.667037,0.014296053205493648,0.036562091087566195,1.573285197256065
174,0.934,0.009494367000000059,0.291903076,1.67958984,10885.03173,0.165490723,0.0,-0.11024081019680576,24.900020137805512,4576.711593,0.016536361625568992,0.04177853996057628,1.3961996983300446
687,1.016,0.015735550000000043,0.283920898,1.71835937,10716.0735,0.150439453,0.0,0.10925197926890318,9.762461388455538,4671.427046,0.04935536097301778,0.09502508199947989,0.9895593292091612
122,0.719,0.00035019699999999654,0.339494629,2.02910156,10767.03143,0.119018555,0.0,-1.5282573764680671,49.752408918356736,5287.845349,0.010548194903239758,0.03361826114179401,1.6968141133153571
121,0.948,0.0034263590000000177,0.22111084,1.70996094,11050.92336,0.19855957,0.0,-0.6020324326780189,10.326432867914717,4994.248967,0.05494857970919211,0.10802495270149017,1.013950326038197
476,0.936,0.003155461000000026,0.224824219,2.1578125,11139.90467,0.0275390625,0.0,-0.63339384127675,32.952186713468535,5086.136507,0.018151742146170817,0.04680529320233125,1.5178842397519345
900,0.948,0.0034263590000000177,0.22111084,1.70996094,11249.61173,0.19855957,0.0,-0.5989757163336579,62.33460585023401,4606.74483,0.006831792622564095,0.02145730267354446,1.7947292177220842
477,0.948,0.0034263590000000177,0.22111084,1.70996094,11142.47809,0.19855957,0.0,-0.5990895025391927,19.12338992719709,4881.988219,0.027383593935912005,0.06289859721058828,1.281564880418123
938,0.898,0.0038236190000000003,0.26432251,2.13330078,10565.99655,0.0271362305,0.0,-0.5290591184487616,12.855598874154966,5243.928713,0.049693961019411655,0.10326590094444131,1.1090923129261925
995,1.153,0.018458525999999975,0.220174561,2.12099609,11292.18007,0.177502441,0.0,0.1449593928248822,58.88639222568903,4478.165499,0.007989904352553204,0.02271902167448857,1.7700149473495266
679,1.081,0.01730601799999998,0.25166687,2.29379883,11185.36922,0.139801025,0.0,0.13346063503068045,82.14692896515861,4516.483271,0.005533004164915771,0.017528006551728773,1.9145913321239032
888,1.153,0.018458525999999975,0.220174561,2.12099609,11243.04353,0.177502441,0.0,0.144959392765662,25.87664892095684,4681.586398,0.02126539281494663,0.048470517426746296,1.4129080336130255
693,0.876,0.0005851540000000044,0.230695801,1.55644531,10714.12127,0.00739746094,0.0,-1.366840712001264,52.44080520020801,4927.316545,0.009553464317078356,0.028937731981296774,1.7196693514261792
392,0.735,0.0007144290000000164,0.328219604,2.20083008,11118.2913,0.177593994,0.0,-1.224410882033151,84.9413594123765,5187.269048,0.005884878188503843,0.021313842816582714,1.929119207214696
81,0.903,0.009611334000000027,0.306193237,2.1934082,11009.9117,0.235748291,0.0,-0.09880593156121129,9.021679248569944,5139.352107,0.06623837551433966,0.12727765639661867,0.955287382387893
127,0.846,0.0008699669999999715,0.252277832,1.77363281,10999.1548,0.104077148,0.0,-1.182230521141494,106.04563218928756,4840.598532,0.004268188264693316,0.0157986441149048,2.0254927854866684
702,0.936,0.003155461000000026,0.224824219,2.1578125,11189.39561,0.0275390625,0.0,-0.63339384127675,55.93225059802392,4974.039415,0.009887022314650726,0.029221299736552374,1.7476622947911085
93,1.153,0.018458525999999975,0.220174561,2.12099609,11011.59542,0.177502441,0.0,0.1414118628505035,6.6850058450338015,4887.289983,0.09581903895277419,0.1550982443848654,0.8251017913234806
864,1.016,0.015735550000000043,0.283920898,1.71835937,10599.16467,0.150439453,0.0,0.10469114707914498,5.568496515860635,4757.762819,0.09227962824421689,0.15421632163136084,0.7457379522642589
455,0.946,0.00785395599999994,0.268813477,1.73164063,11131.25332,0.236865234,0.0,-0.20768177623138737,22.86376059022361,4670.821286,0.019567719170019964,0.04772101053850864,1.3591476639097553
564,0.946,0.00785395599999994,0.268813477,1.73164063,11168.46556,0.236865234,0.0,-0.20768177623138737,37.24218117524701,4552.178211,0.010966773504850365,0.03046506628942842,1.5710351085239584
605,0.946,0.00785395599999994,0.268813477,1.73164063,11175.14237,0.236865234,0.0,-0.20768177623138737,40.47350122204888,4531.316529,0.00992729410210099,0.028226085229960205,1.607170775324223
506,0.843,0.003803819999999958,0.293347168,2.28886719,11153.70316,0.0172119141,0.0,-0.5132757177655766,69.61480881435259,4984.380947,0.007208279442262591,0.023610413851773152,1.8427016347578298
461,1.081,0.01730601799999998,0.25166687,2.29379883,11135.33987,0.139801025,0.0,0.13346063503068045,29.02891931877275,4793.714378,0.019315171036233824,0.0461388361686409,1.462830868328067
90,0.903,0.009611334000000027,0.306193237,2.1934082,11077.8581,0.235748291,0.0,-0.09686334871329909,14.22267365574623,5062.25761,0.039833520483705136,0.08565148460586333,1.1529812451131731
987,0.749,0.002894956000000004,0.345144043,1.89511719,11287.98085,0.0992431641,0.0,-0.6026527601873847,15.070599529381175,5192.648905,0.03411930325366668,0.080572561760917,1.1781305294959807
21,0.934,0.009494367000000059,0.291903076,1.67958984,10951.71635,0.165490723,0.0,-0.11024081019680576,54.65432267290692,4381.81086,0.006455788894986676,0.020164369165896572,1.7376245164915618
913,1.153,0.018458525999999975,0.220174561,2.12099609,11256.61719,0.177502441,0.0,0.144959392765662,31.258852626105046,4637.866868,0.017031883269633424,0.04081039571610538,1.4949730329507207
349,0.948,0.0034263590000000177,0.22111084,1.70996094,11101.10452,0.19855957,0.0,-0.5999925692763904,13.9337998699948,4943.22984,0.03927370277076481,0.08331750005076077,1.1440695685079305
561,0.936,0.003155461000000026,0.224824219,2.1578125,11167.63999,0.0275390625,0.0,-0.63339384127675,50.70832334893396,4986.868917,0.01100715599796071,0.031731928254247914,1.7050792510064792
809,0.946,0.00785395599999994,0.268813477,1.73164063,11212.57005,0.236865234,0.0,-0.20768177623138737,59.94557124284971,4433.693977,0.006197658053651083,0.01961241281600119,1.7777571031005923
599,0.876,0.0005851540000000044,0.230695801,1.55644531,10744.65973,0.00739746094,0.0,-1.3668407120753403,105.5709723348934,4758.857577,0.004200350827026233,0.015391424331350297,2.0235445215333905
962,1.153,0.018458525999999975,0.220174561,2.12099609,11270.43224,0.177502441,0.0,0.1449593928248822,38.67138744149766,4586.238278,0.013234690728082824,0.033602263567810736,1.587389753851629
150,0.948,0.0034263590000000177,0.22111084,1.70996094,11194.62174,0.19855957,0.0,-0.5989757163336579,33.55814505980239,4756.205917,0.014228854684259532,0.037778925517556364,1.5257979470149363
747,0.948,0.0034263590000000177,0.22111084,1.70996094,11198.08793,0.19855957,0.0,-0.5989757163336579,35.18993354134165,4744.732517,0.013453474949932155,0.0361922513048938,1.5464184466403679
841,0.771,0.00017187900000004142,0.288792725,1.82373047,11219.47513,0.122277832,0.0,-1.872607542002336,15.879817652106086,5407.311247,0.038384862519525324,0.08945457623233716,1.2008455111176017
933,0.865,0.0003402110000000347,0.223776855,1.52324219,11263.13353,0.238696289,0.0,-1.609770850643099,21.33430857774311,5141.284807,0.026806471400744117,0.06486314937788194,1.3290785724010177
618,0.946,0.00785395599999994,0.268813477,1.73164063,11177.25389,0.236865234,0.0,-0.20768177623138737,41.19620470618825,4527.190064,0.009721093284458384,0.027747743921295514,1.614857207511706
906,0.857,0.0005185349999999866,0.23477417,2.03427734,11252.09877,0.14732666,0.0,-1.4178885943762412,94.69231729069163,5072.72593,0.005699883814911607,0.01993434093098127,1.9763147446462703
120,0.838,0.00017682299999996487,0.243502197,1.83642578,11050.76518,0.0939331055,0.0,-1.8825873871436982,43.959302444097766,5207.149758,0.01319926798320759,0.03832420951201504,1.6430507923255488
891,1.064,0.012440440000000025,0.243914795,2.01552734,10568.7836,0.0137329102,0.0,-0.017753435854721656,85.50136588663547,4423.700994,0.004880232020845106,0.015896750007653393,1.931973052649699
867,0.857,0.0005185349999999866,0.23477417,2.03427734,11235.67214,0.14732666,0.0,-1.4178885943762412,63.90784113364535,5155.881357,0.008951469647848632,0.028214709585629837,1.8055541469245369
967,0.782,0.0010522860000000689,0.29571167,1.85927734,11274.69021,0.19420166,0.0,-1.0764678541541282,17.260274966198647,5284.384053,0.033012360450441806,0.07854663773483447,1.2370477099974753
387,1.081,0.01730601799999998,0.25166687,2.29379883,11118.0514,0.139801025,0.0,0.13346063503068045,33.49748835153406,4747.986803,0.016190489449202324,0.040230192646831656,1.5250122447693157
347,1.081,0.01730601799999998,0.25166687,2.29379883,11101.00247,0.139801025,0.0,0.13346063503068045,27.44154331773271,4794.062126,0.02044777081606979,0.04819826674669567,1.4384085325276867
625,0.851,0.0013426080000000784,0.254015503,2.11137695,11178.08634,0.0491271973,0.0,-0.9918327901824857,48.92807048881956,5149.486875,0.01159678715708357,0.03424329409534617,1.6895580894043016
768,0.903,0.009611334000000027,0.306193237,2.1934082,11202.35769,0.235748291,0.0,-0.09667221538175438,65.44036965678627,4694.162687,0.006620344962377315,0.021253226604540962,1.8158457438944562
535,1.081,0.01730601799999998,0.25166687,2.29379883,11161.38407,0.139801025,0.0,0.13346063503068045,45.587566874674984,4679.724202,0.011300443459819738,0.030465427815825005,1.6588464134105358
98,0.851,0.0013426080000000784,0.254015503,2.11137695,11220.56906,0.0491271973,0.0,-0.9918327901824857,114.13811755070203,4950.825932,0.004326135335836097,0.016028342449892045,2.057430705569832
660,0.851,0.0013426080000000784,0.254015503,2.11137695,11181.68295,0.0491271973,0.0,-0.9918327901824857,52.29714100364014,5134.693574,0.010740368686246001,0.03226094217203362,1.718477947370494
975,1.064,0.012440440000000025,0.243914795,2.01552734,10560.70597,0.0137329102,0.0,-0.017753435854721656,67.85133120124804,4488.904808,0.006473399934969978,0.019776554745429428,1.8315583726690792
263,0.936,0.003155461000000026,0.224824219,2.1578125,11076.31177,0.0275390625,0.0,-0.6339744099867187,17.203668936557463,5211.568137,0.03787136147715868,0.08291820815360629,1.235621076499488
655,0.825,0.0031001770000000373,0.297425537,1.71435547,11181.15954,0.137512207,0.0,-0.6004407666453155,77.78266726469059,4600.045342,0.004744260418416327,0.016817648344378634,1.8908828315663335
574,0.843,0.003803819999999958,0.293347168,2.28886719,11169.65497,0.0172119141,0.0,-0.5132757177655766,119.14750530421217,4825.863892,0.003760017010017449,0.014259017934170939,2.07608495357331
356,0.851,0.0013426080000000784,0.254015503,2.11137695,11104.83985,0.0491271973,0.0,-0.9928614481633736,19.835548078523143,5326.375543,0.03221434439077703,0.07568531068588971,1.2974442050213988
525,0.843,0.003803819999999958,0.293347168,2.28886719,11158.05911,0.0172119141,0.0,-0.5132757177655766,79.070798699948,4948.201088,0.006186091099221976,0.02095136747878362,1.8980161256601324
317,1.016,0.015735550000000043,0.283920898,1.71835937,10871.20567,0.150439453,0.0,0.1098617899277509,34.16211994279771,4408.003625,0.011492587490716372,0.03061064865760918,1.5335448131554879
155,0.934,0.009494367000000059,0.291903076,1.67958984,10930.21119,0.165490723,0.0,-0.11024081019680576,36.75039134165367,4487.613211,0.01044629337867203,0.02927409003884423,1.5652619680900317
993,1.153,0.018458525999999975,0.220174561,2.12099609,11290.36715,0.177502441,0.0,0.1449593928248822,56.530802470098806,4488.977558,0.008394029657267845,0.023620771175216947,1.7522851504320311
740,0.898,0.0038236190000000003,0.26432251,2.13330078,10700.28132,0.0271362305,0.0,-0.5273156147694747,60.00995122204888,4908.901543,0.008444005600680725,0.026073314176586065,1.7782232737582042
